Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,Start,Not defined,T1,POINT,24.012,24.012,NA,VIDEO\Waffle.MOV,720,720,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,alternating gaze,Not defined,,STATE,24.012,41.887,17.875,VIDEO\Waffle.MOV,720,1256,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,looking at the tupperware,Not defined,,POINT,24.012,24.012,NA,VIDEO\Waffle.MOV,720,720,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,interacting with tupperware,Not defined,,STATE,24.345,24.778,0.433,VIDEO\Waffle.MOV,730,743,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,looking at owner,Not defined,,POINT,25.478,25.478,NA,VIDEO\Waffle.MOV,764,764,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,looking at the tupperware,Not defined,,POINT,29.647,29.647,NA,VIDEO\Waffle.MOV,889,889,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,interacting with tupperware,Not defined,,STATE,30.380,35.617,5.237,VIDEO\Waffle.MOV,911,1068,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,interacting with tupperware,Not defined,,STATE,36.483,37.483,1.000,VIDEO\Waffle.MOV,1094,1124,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,interacting with tupperware,Not defined,,STATE,38.385,38.985,0.600,VIDEO\Waffle.MOV,1151,1169,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,looking at owner,Not defined,,POINT,41.318,41.318,NA,VIDEO\Waffle.MOV,1239,1239,,,,
