Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Original_BehaviorType,Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop,Time,Behavior type,Stop (s).x
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,alternating gaze,Not defined,NA,NA,VIDEO\Waffle.MOV,720,1256,NA,NA,NA,NA,24.012,POINT,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,730,743,NA,NA,NA,NA,24.345,START,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,730,743,NA,NA,NA,NA,24.778,STOP,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,911,1068,NA,NA,NA,NA,30.38,START,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,911,1068,NA,NA,NA,NA,35.617,STOP,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,1094,1124,NA,NA,NA,NA,36.483,START,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,1094,1124,NA,NA,NA,NA,37.483,STOP,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,1151,1169,NA,NA,NA,NA,38.385,START,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,1151,1169,NA,NA,NA,NA,38.985,STOP,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,1658,1697,NA,NA,NA,NA,55.292,START,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,1658,1697,NA,NA,NA,NA,56.593,STOP,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,1796,1984,NA,NA,NA,NA,59.895,START,NA
