Observation id,Behavior,Behavior type,Start (s),Stop (s),coder
Dewey,Start,POINT,49.703,49.703,Amanda
Dewey,interacting with tupperware,STATE,50.07,52.703,Amanda
Dewey,alternating gaze,POINT,53.703,53.703,Amanda
Dewey,interacting with tupperware,STATE,54.737,55.203,Amanda
Dewey,alternating gaze,POINT,55.77,55.77,Amanda
Dewey,looking at owner,POINT,56.803,56.803,Amanda
Dewey,nudging/scratching/paw owner,POINT,64.603,64.603,Amanda
Dewey,looking at owner,POINT,78.07,78.07,Amanda
Dewey,looking at owner,POINT,82.205,82.205,Amanda
Dewey,alternating gaze,POINT,82.605,82.605,Amanda
Dewey,looking at owner,POINT,86.238,86.238,Amanda
Dewey,bark/whine vocalization,POINT,97.472,97.472,Amanda
Dewey,nudging/scratching/paw owner,POINT,113.107,113.107,Amanda
Dewey,looking at owner,POINT,125.007,125.007,Amanda
Dewey,looking at owner,POINT,128.873,128.873,Amanda
Dewey,looking at owner,POINT,134.74,134.74,Amanda
Dewey,alternating gaze,POINT,178.01,178.01,Amanda
Dewey,looking at owner,POINT,199.043,199.043,Amanda
Dewey,looking at owner,POINT,202.177,202.177,Amanda
Dewey,End,POINT,229.712,229.712,Amanda
Dewey,Start,POINT,282.182,282.182,Amanda
Dewey,alternating gaze,POINT,282.615,282.615,Amanda
Dewey,alternating gaze,POINT,306.25,306.25,Amanda
Dewey,interacting with tupperware,STATE,310.783,316.583,Amanda
Dewey,looking at owner,POINT,320.05,320.05,Amanda
Dewey,positioning in front of owner,POINT,321.55,321.55,Amanda
Dewey,looking at owner,POINT,335.485,335.485,Amanda
Dewey,alternating gaze,POINT,335.885,335.885,Amanda
Dewey,looking at owner,POINT,338.918,338.918,Amanda
Dewey,looking at owner,POINT,340.252,340.252,Amanda
Dewey,alternating gaze,POINT,377.053,377.053,Amanda
Dewey,alternating gaze,POINT,378.053,378.053,Amanda
Dewey,looking at owner,POINT,384.92,384.92,Amanda
Dewey,looking at owner,POINT,435.323,435.323,Amanda
Dewey,alternating gaze,POINT,441.357,441.357,Amanda
Dewey,looking at owner,POINT,460.558,460.558,Amanda
Dewey,looking at owner,POINT,460.792,460.792,Amanda
Dewey,End,POINT,462.192,462.192,Amanda
Dewey,Start,POINT,509.86,509.86,Amanda
Dewey,interacting with tupperware,STATE,510.86,513.993,Amanda
Dewey,alternating gaze,POINT,515.493,515.493,Amanda
Dewey,alternating gaze,POINT,519.993,519.993,Amanda
Dewey,interacting with tupperware,STATE,523.528,523.828,Amanda
Dewey,bark/whine vocalization,POINT,524.195,524.195,Amanda
Dewey,interacting with tupperware,STATE,524.995,525.728,Amanda
Dewey,interacting with tupperware,STATE,527.095,527.595,Amanda
Dewey,alternating gaze,POINT,527.862,527.862,Amanda
Dewey,interacting with tupperware,STATE,530.195,530.495,Amanda
Dewey,interacting with tupperware,STATE,530.762,531.728,Amanda
Dewey,interacting with tupperware,STATE,531.962,532.295,Amanda
Dewey,alternating gaze,POINT,532.528,532.528,Amanda
Dewey,looking at owner,POINT,536.762,536.762,Amanda
Dewey,alternating gaze,POINT,541.995,541.995,Amanda
Dewey,looking at owner,POINT,544.062,544.062,Amanda
Dewey,nudging/scratching/paw owner,POINT,551.528,551.528,Amanda
Dewey,looking at owner,POINT,567.297,567.297,Amanda
Dewey,looking at owner,POINT,570.663,570.663,Amanda
Dewey,looking at owner,POINT,582.13,582.13,Amanda
Dewey,looking at owner,POINT,591.065,591.065,Amanda
